Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2012 [YR2012],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,553.300289383064,669.009050888028,569.577922915754,561.778746269502,..
Afghanistan,AFG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,8.10000038146973,8,8.60000038146973,8.60000038146973,8.5
Afghanistan,AFG,Net migration,SM.POP.NETM,..,448007,..,..,..
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,4094.35883191918,4247.61430826246,3934.89539413158,4124.98239042866,..
Albania,ALB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,14.1999998092651,13.3999996185303,17.1000003814697,15.1999998092651,..
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,14.1999998092651,13.3999996185303,17.1000003814697,15.1999998092651,15
Albania,ALB,Net migration,SM.POP.NETM,..,-93425,..,..,..
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,4463.39467488951,5565.13452104848,4160.22006671831,3916.88157088626,..
Algeria,DZA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,10,11,..,10.1999998092651,..
Algeria,DZA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,10,11,11.1999998092651,11.5,11.6999998092651
Algeria,DZA,Net migration,SM.POP.NETM,..,-143268,..,..,..
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,10352.8227618312,11660.329531052,11865.9632317194,11834.7452292307,..
American Samoa,ASM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,9.19999980926514,..,..,..,..
American Samoa,ASM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..,..,..,..,..
American Samoa,ASM,Net migration,SM.POP.NETM,..,..,..,..,..
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,39736.3540626699,38391.0808669785,36038.2676044596,36988.6220301891,..
Andorra,AND,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..
Andorra,AND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..,..,..,..,..
Andorra,AND,Net migration,SM.POP.NETM,..,..,..,..,..
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,3529.05348173757,4598.24998765441,3695.79374814656,3308.70023298492,..
Angola,AGO,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..
Angola,AGO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.19999980926514,6.19999980926514,6.19999980926514,6.09999990463257,6.19999980926514
Angola,AGO,Net migration,SM.POP.NETM,..,87322,..,..,..
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,12174.6978594572,12517.5579290917,13659.1479142644,14462.1762794658,..
Antigua and Barbuda,ATG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..
Antigua and Barbuda,ATG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..,..,..,..,..
Antigua and Barbuda,ATG,Net migration,SM.POP.NETM,..,-56,..,..,..
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,5917.57430778759,7343.12131796659,6435.52550875833,6162.34727236922,..
Arab World,ARB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..
Arab World,ARB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9.96333397821611,11.3581981404718,11.2646141898181,11.2406599742383,11.0966818004747
Arab World,ARB,Net migration,SM.POP.NETM,..,608774,..,..,..
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,10276.2604977053,12969.7071238969,13467.1023570022,12440.3209818055,..
Argentina,ARG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,7.69999980926514,7.19999980926514,..,..,..
Argentina,ARG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.69999980926514,7.19999980926514,7.19999980926514,8.80000019073486,8.10000038146973
Argentina,ARG,Net migration,SM.POP.NETM,..,30000,..,..,..
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,3218.38165488465,3684.80481032649,3617.93574555176,3614.68835699811,..
Armenia,ARM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,19,17.2999992370605,18.2999992370605,18,..
Armenia,ARM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,19,17.2999992370605,18.2999992370605,17.6000003814697,17.3999996185303
Armenia,ARM,Net migration,SM.POP.NETM,..,-30535,..,..,..
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,24271.9404205267,..,..,..,..
Aruba,ABW,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,10.6000003814697,..,..,..,..
Aruba,ABW,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..,..,..,..,..
Aruba,ABW,Net migration,SM.POP.NETM,..,1253,..,..,..
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,51874.0804819957,67635.3155532647,56408.3404284049,49755.315480305,..
Australia,AUS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.19999980926514,5.19999980926514,6.09999990463257,5.69999980926514,..
Australia,AUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.19999980926514,5.19999980926514,6.09999990463257,5.69999980926514,5.69999980926514
Australia,AUS,Net migration,SM.POP.NETM,..,913107,..,..,..
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,46858.0432733717,48567.69528642,44255.5833562366,44757.6348988008,..
Austria,AUT,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,4.80000019073486,4.90000009536743,5.69999980926514,6,..
Austria,AUT,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.80000019073486,4.90000009536743,5.69999980926514,6,5.69999980926514
Austria,AUT,Net migration,SM.POP.NETM,..,267172,..,..,..
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,5842.80578358576,7496.33572799679,5500.31038244408,3878.70925736637,..
Azerbaijan,AZE,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.59999990463257,5.19999980926514,5,5,..
Azerbaijan,AZE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.59999990463257,5.19999980926514,5,5,5.09999990463257
Azerbaijan,AZE,Net migration,SM.POP.NETM,..,0,..,..,..
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,21921.5590634977,28815.527404385,29056.0906632751,28785.4776705382,..
"Bahamas, The",BHS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,14,..,..,..
"Bahamas, The",BHS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,14.3000001907349,14,12,12.6999998092651,12.6000003814697
"Bahamas, The",BHS,Net migration,SM.POP.NETM,..,9672,..,..,..
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,20722.1038895508,23649.3666139101,22688.8782442968,22579.0934203237,..
Bahrain,BHR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,1.10000002384186,1.20000004768372,..,..,..
Bahrain,BHR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1.10000002384186,1.20000004768372,1.10000002384186,1.20000004768372,1.20000004768372
Bahrain,BHR,Net migration,SM.POP.NETM,..,42000,..,..,..
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,757.671757176894,856.342857027401,1210.15876939761,1358.77902884543,..
Bangladesh,BGD,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,3.40000009536743,..,..,4.40000009536743,..
Bangladesh,BGD,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.5,4.5,4.19999980926514,4.09999990463257,4
Bangladesh,BGD,Net migration,SM.POP.NETM,..,-2526483,..,..,..
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,15959.0297922874,16536.2146421152,16129.0492827663,15891.6265491446,..
Barbados,BRB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,10.6999998092651,11.6000003814697,11.3999996185303,9.69999980926514,..
