Country Name,Country Code,Series Name,Series Code,2012 [YR2012]
Afghanistan,AFG,"Population, total",SP.POP.TOTL,30696958
Albania,ALB,"Population, total",SP.POP.TOTL,2900401
Algeria,DZA,"Population, total",SP.POP.TOTL,37565847
American Samoa,ASM,"Population, total",SP.POP.TOTL,55230
Andorra,AND,"Population, total",SP.POP.TOTL,82431
Angola,AGO,"Population, total",SP.POP.TOTL,25096150
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,96777
Arab World,ARB,"Population, total",SP.POP.TOTL,373306993
Argentina,ARG,"Population, total",SP.POP.TOTL,42096739
Armenia,ARM,"Population, total",SP.POP.TOTL,2881922
Aruba,ABW,"Population, total",SP.POP.TOTL,102577
Australia,AUS,"Population, total",SP.POP.TOTL,22728254
Austria,AUT,"Population, total",SP.POP.TOTL,8429991
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,9295784
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,372039
Bahrain,BHR,"Population, total",SP.POP.TOTL,1300217
Bangladesh,BGD,"Population, total",SP.POP.TOTL,155727053
Barbados,BRB,"Population, total",SP.POP.TOTL,281585
Belarus,BLR,"Population, total",SP.POP.TOTL,9464495
Belgium,BEL,"Population, total",SP.POP.TOTL,11128246
Belize,BLZ,"Population, total",SP.POP.TOTL,336701
Benin,BEN,"Population, total",SP.POP.TOTL,9729160
Bermuda,BMU,"Population, total",SP.POP.TOTL,64798
Bhutan,BTN,"Population, total",SP.POP.TOTL,752967
Bolivia,BOL,"Population, total",SP.POP.TOTL,10239004
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3648200
Botswana,BWA,"Population, total",SP.POP.TOTL,2089315
Brazil,BRA,"Population, total",SP.POP.TOTL,200560983
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,28509
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,399748
Bulgaria,BGR,"Population, total",SP.POP.TOTL,7305888
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,16571216
Burundi,BDI,"Population, total",SP.POP.TOTL,9319710
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,513979
Cambodia,KHM,"Population, total",SP.POP.TOTL,14776866
Cameroon,CMR,"Population, total",SP.POP.TOTL,21082383
Canada,CAN,"Population, total",SP.POP.TOTL,34750545
Caribbean small states,CSS,"Population, total",SP.POP.TOTL,7074129
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,57523
Central African Republic,CAF,"Population, total",SP.POP.TOTL,4490416
Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,103935318
Chad,TCD,"Population, total",SP.POP.TOTL,12705135
Channel Islands,CHI,"Population, total",SP.POP.TOTL,161358
Chile,CHL,"Population, total",SP.POP.TOTL,17309746
China,CHN,"Population, total",SP.POP.TOTL,1350695000
Colombia,COL,"Population, total",SP.POP.TOTL,46881475
Comoros,COM,"Population, total",SP.POP.TOTL,723868
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,68978682
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,4633363
Costa Rica,CRI,"Population, total",SP.POP.TOTL,4654122
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,21418603
Croatia,HRV,"Population, total",SP.POP.TOTL,4267558
Cuba,CUB,"Population, total",SP.POP.TOTL,11382146
Curacao,CUW,"Population, total",SP.POP.TOTL,152088
Cyprus,CYP,"Population, total",SP.POP.TOTL,1135062
