ID,Country/ region,Region,Est 2009 muslim pop,% of pop that is muslim,% of world muslim pop,Source and year,SOURCE:
1,Asia-Pacific ,Asia-Pacific ,"972,537,000",24.1,61.90%,,PEW RESEARCH
2,Afghanistan,Asia-Pacific ,"28,072,000",99.7,1.8,WRD 2005 ,
3,American Samoa ,Asia-Pacific ,--,0,--,WRD 2005 ,http://pewforum.org/docs/?DocID=450
4,Armenia ,Asia-Pacific ,"1,000",0,<0.1 ,DHS 2000 ,
5,Australia ,Asia-Pacific ,"365,000",1.7,<0.1 ,Census 2006 ,
6,Azerbaijan ,Asia-Pacific ,"8,765,000",99.2,0.6,DHS 2006 ,
7,Bangladesh ,Asia-Pacific ,"145,312,000",89.6,9.3,Census 2001 ,
8,Bhutan ,Asia-Pacific ,"7,000",1,<0.1 ,WRD 2005 ,
9,Brunei ,Asia-Pacific ,"269,000",67.2,<0.1 ,Census 1991 ,
10,Burma (Myanmar) ,Asia-Pacific ,"1,889,000",3.8,0.1,WRD 2005 ,
11,Cambodia ,Asia-Pacific ,"236,000",1.6,<0.1 ,DHS 2005 ,
12,China ,Asia-Pacific ,"21,667,000",1.6,1.4,Census 2000 (ethnicity data) ,
13,Cook Islands ,Asia-Pacific ,--,0,--,Census 2001 ,
14,Cyprus ,Asia-Pacific ,"198,000",22.7,<0.1 ,Census 2001 and WRD 2005 ,
15,Federated States of Micronesia ,Asia-Pacific ,--,0,--,Census 2000 ,
16,Fiji ,Asia-Pacific ,"53,000",6.3,<0.1 ,Census 2007 ,
17,French Polynesia ,Asia-Pacific ,--,0,--,Census 1971 ,
18,Guam ,Asia-Pacific ,--,0,--,WRD 2005 ,
19,Hong Kong ,Asia-Pacific ,"7,000",1,<1 ,WVS 2005 ,
20,India ,Asia-Pacific ,"160,945,000",13.4,10.3,Census 2001 ,
21,Indonesia ,Asia-Pacific ,"202,867,000",88.2,12.9,Census 2000 ,
22,Iran ,Asia-Pacific ,"73,777,000",99.4,4.7,Census 2006 ,
23,Japan ,Asia-Pacific ,"183,000",0.1,<0.1 ,WRD 2005 ,
24,Kazakhstan ,Asia-Pacific ,"8,822,000",56.4,0.6,DHS 1999 ,
25,Kiribati ,Asia-Pacific ,--,0,--,Census 2005 ,
26,Kyrgyzstan ,Asia-Pacific ,"4,734,000",86.3,0.3,DHS 1997 ,
27,Laos ,Asia-Pacific ,"2,000",0,<0.1 ,Census 1995 ,
28,Macau ,Asia-Pacific ,--,0,--,Census 1991 ,
29,Malaysia ,Asia-Pacific ,"16,581,000",60.4,1.1,Census 2000 ,
30,Maldives ,Asia-Pacific ,"304,000",98.4,<0.1 ,WRD 2005 ,
31,Marshall Islands ,Asia-Pacific ,--,0,--,Census 1999 ,
32,Mongolia ,Asia-Pacific ,"133,000",5,<0.1 ,WRD 2005 ,
33,Nauru ,Asia-Pacific ,--,0,--,Census 2002 ,
34,Nepal ,Asia-Pacific ,"1,231,000",4.2,0.1,Census 2001 ,
35,New Caledonia ,Asia-Pacific ,"7,000",2.8,<0.1 ,WRD 2005 ,
36,New Zealand ,Asia-Pacific ,"37,000",0.9,<0.1 ,Census 2006 ,
37,Niue ,Asia-Pacific ,--,0,--,Census 2001 ,
38,North Korea ,Asia-Pacific ,"2,000",0,<0.1 ,WRD 2005 ,
39,Northern Mariana Islands ,Asia-Pacific ,"1,000",0.7,<0.1 ,WRD 2005 ,
40,Pakistan ,Asia-Pacific ,"174,082,000",96.3,11.1,Census 1998 ,
41,Palau ,Asia-Pacific ,--,0,--,Census 2000 ,
42,Papua New Guinea ,Asia-Pacific ,"2,000",0,<0.1 ,Census 2000 ,
43,Philippines ,Asia-Pacific ,"4,654,000",5.1,0.3,Census 2000 ,
44,Pitcairn Islands ,Asia-Pacific ,--,0,--,WRD 2005 ,
45,Samoa ,Asia-Pacific ,--,0,--,Census 2001 ,
46,Singapore ,Asia-Pacific ,"706,000",14.9,<0.1 ,Census 2000 ,
47,Solomon Islands ,Asia-Pacific ,--,0,--,Census 1999 ,
48,South Korea ,Asia-Pacific ,"71,000",0.1,<0.1 ,WRD 2005 ,
49,Sri Lanka ,Asia-Pacific ,"1,711,000",8.5,0.1,Census 2001 ,
50,Taiwan ,Asia-Pacific ,"23,000",1,<1 ,WVS 2006 ,
51,Tajikistan ,Asia-Pacific ,"5,848,000",84.1,0.4,WRD 2005 ,
52,Thailand ,Asia-Pacific ,"3,930,000",5.8,0.3,Consultant 2009 ,
53,Timor-Leste ,Asia-Pacific ,"43,000",3.8,<0.1 ,WRD 2005 ,
54,Tokelau ,Asia-Pacific ,--,0,--,Census 2006 ,
55,Tonga ,Asia-Pacific ,--,0,--,Census 2001 ,
56,Turkey ,Asia-Pacific ,"73,619,000",98,4.7,TESEV 2006 ,
57,Turkmenistan ,Asia-Pacific ,"4,757,000",93.1,0.3,DHS 2000 ,
58,Tuvalu ,Asia-Pacific ,--,0.1,<0.1 ,WRD 2005 ,
59,Uzbekistan ,Asia-Pacific ,"26,469,000",96.3,1.7,DHS 2002 ,
60,Vanuatu ,Asia-Pacific ,--,0,--,Census 1999 ,
61,Vietnam ,Asia-Pacific ,"157,000",0.2,<0.1 ,WRD 2005 ,
62,Wallis and Futuna ,Asia-Pacific ,--,0,--,WRD 2005 ,
63,Middle East-North Africa ,Middle East-North Africa ,"315,322,000",0.9,20.10%,,
64,Algeria ,Middle East-North Africa ,"34,199,000",98,2.2,WRD 2005 ,
65,Bahrain ,Middle East-North Africa ,"642,000",81.2,<0.1 ,Census 2001 ,
66,Egypt ,Middle East-North Africa ,"78,513,000",94.6,5,DHS 2005 ,
67,Iraq ,Middle East-North Africa ,"30,428,000",99,~2 ,WVS 2006 ,
68,Israel ,Middle East-North Africa ,"1,194,000",16.7,0.1,Statistical Abstract 2008 ,
69,Jordan ,Middle East-North Africa ,"6,202,000",98.2,0.4,DHS 2002 ,
70,Kuwait ,Middle East-North Africa ,"2,824,000",95,<1 ,Pew Global 2007 ,
71,Lebanon ,Middle East-North Africa ,"2,504,000",59.3,0.2,WRD 2005 ,
72,Libya ,Middle East-North Africa ,"6,203,000",96.6,0.4,WRD 2005 ,
73,Morocco ,Middle East-North Africa ,"31,993,000",99,~2 ,Pew Global 2007 ,
74,Oman ,Middle East-North Africa ,"2,494,000",87.7,0.2,Census 1993 ,
75,Palestinian territories ,Middle East-North Africa ,"4,173,000",98,<1 ,Pew Global 2009 ,
76,Qatar ,Middle East-North Africa ,"1,092,000",77.5,0.1,Census 2004 ,
77,Saudi Arabia ,Middle East-North Africa ,"24,949,000",97,~2 ,WVS 2003 ,
78,Sudan ,Middle East-North Africa ,"30,121,000",71.3,1.9,WRD 2005 ,
79,Syria ,Middle East-North Africa ,"20,196,000",92.2,1.3,WRD 2005 ,
80,Tunisia ,Middle East-North Africa ,"10,216,000",99.5,0.7,WRD 2005 ,
81,United Arab Emirates ,Middle East-North Africa ,"3,504,000",76.2,0.2,WRD 2005 ,
82,Western Sahara ,Middle East-North Africa ,"510,000",99.4,<0.1 ,WRD 2005 ,
83,Yemen ,Middle East-North Africa ,"23,363,000",99.1,1.5,WRD 2005 ,
84,Sub-Saharan Africa ,Sub-Saharan Africa ,"240,632,000",0.3,15.30%,,
85,Angola ,Sub-Saharan Africa ,"190,000",1,<1 ,Pew Global 2002 ,
86,Benin ,Sub-Saharan Africa ,"2,182,000",24.4,0.1,Census 2002 ,
87,Botswana ,Sub-Saharan Africa ,"8,000",0.4,<0.1 ,Census 2001 ,
88,Burkina Faso ,Sub-Saharan Africa ,"9,292,000",59,0.6,DHS 2003 ,
89,Burundi ,Sub-Saharan Africa ,"180,000",2,<1 ,InterMedia 2007 ,
90,Cameroon ,Sub-Saharan Africa ,"3,498,000",17.9,0.2,DHS 2004 ,
91,Cape Verde ,Sub-Saharan Africa ,"1,000",1,<1 ,AfroB 2005 ,
92,Central African Republic ,Sub-Saharan Africa ,"395,000",8.9,<0.1 ,DHS 1995 ,
93,Chad ,Sub-Saharan Africa ,"6,257,000",55.8,0.4,DHS 2004 ,
94,Comoros ,Sub-Saharan Africa ,"664,000",98.3,<0.1 ,WRD 2005 ,
95,Congo ,Sub-Saharan Africa ,"943,000",1.4,0.1,DHS 2007 ,
96,Djibouti ,Sub-Saharan Africa ,"838,000",96.9,0.1,WRD 2005 ,
97,Equatorial Guinea ,Sub-Saharan Africa ,"27,000",4,<0.1 ,WRD 2005 ,
98,Eritrea ,Sub-Saharan Africa ,"1,854,000",36.5,0.1,DHS 2002 ,
99,Ethiopia ,Sub-Saharan Africa ,"28,063,000",33.9,1.8,Census 2007 ,
100,Gabon ,Sub-Saharan Africa ,"140,000",9.5,0.1,DHS 2000 ,
101,Gambia ,Sub-Saharan Africa ,"1,625,000",95,<1 ,InterMedia 2004 ,
102,Ghana ,Sub-Saharan Africa ,"3,787,000",15.9,0.2,Census 2000 ,
103,Guinea ,Sub-Saharan Africa ,"8,502,000",84.4,0.5,DHS 2005 ,
104,Guinea Bissau ,Sub-Saharan Africa ,"680,000",42.2,<0.1 ,WRD 2005 ,
105,Ivory Coast ,Sub-Saharan Africa ,"7,745,000",36.7,0.5,DHS 2005 ,
106,Kenya ,Sub-Saharan Africa ,"2,793,000",7,0.2,DHS 2003 ,
107,Lesotho ,Sub-Saharan Africa ,"1,000",0,<0.1 ,WRD 2005 ,
108,Liberia ,Sub-Saharan Africa ,"483,000",12.2,<0.1 ,Census 2008 ,
109,Madagascar ,Sub-Saharan Africa ,"215,000",1.1,<0.1 ,DHS 2004 ,
110,Malawi ,Sub-Saharan Africa ,"1,955,000",12.8,0.1,Census 1998 ,
111,Mali ,Sub-Saharan Africa ,"12,040,000",92.5,0.8,DHS 2006 ,
112,Mauritania ,Sub-Saharan Africa ,"3,261,000",99.1,0.2,WRD 2005 ,
113,Mauritius ,Sub-Saharan Africa ,"214,000",16.6,<0.1 ,Census 2000 ,
114,Mayotte ,Sub-Saharan Africa ,"191,000",98.4,<0.1 ,WRD 2005 ,
115,Mozambique ,Sub-Saharan Africa ,"5,224,000",22.8,0.3,DHS 2003 ,
116,Namibia ,Sub-Saharan Africa ,"8,000",0.4,<0.1 ,WRD 2005 ,
117,Niger ,Sub-Saharan Africa ,"15,075,000",98.6,1,DHS 2006 ,
118,Nigeria ,Sub-Saharan Africa ,"78,056,000",50.4,5,DHS 2003 ,
119,Republic of Congo ,Sub-Saharan Africa ,"59,000",1.6,<0.1 ,DHS 2005 ,
120,Reunion ,Sub-Saharan Africa ,"34,000",4.2,<0.1 ,WRD 2005 ,
121,Rwanda ,Sub-Saharan Africa ,"182,000",1.8,<0.1 ,Census 2002 ,
122,Sao Tome and Principe ,Sub-Saharan Africa ,--,0,--,WRD 2005 ,
123,Senegal ,Sub-Saharan Africa ,"12,028,000",96,0.8,DHS 2006 ,
124,Seychelles ,Sub-Saharan Africa ,"1,000",1.1,<0.1 ,Census 2002 ,
125,Sierra Leone ,Sub-Saharan Africa ,"4,059,000",71.3,0.3,Census 2004 ,
126,Somalia ,Sub-Saharan Africa ,"8,995,000",98.5,0.6,WRD 2005 ,
127,South Africa ,Sub-Saharan Africa ,"731,000",1.5,<0.1 ,Census 2001 ,
128,St. Helena ,Sub-Saharan Africa ,--,0,--,Census 1987 ,
129,Swaziland ,Sub-Saharan Africa ,"2,000",0.2,<0.1 ,DHS 2006 ,
130,Tanzania ,Sub-Saharan Africa ,"13,218,000",30.2,0.8,DHS 2004 ,
131,Togo ,Sub-Saharan Africa ,"809,000",12.2,0.1,DHS 1998 ,
132,Uganda ,Sub-Saharan Africa ,"3,958,000",12.1,0.3,Census 2002 ,
133,Zambia ,Sub-Saharan Africa ,"58,000",0.4,<0.1 ,Census 2000 ,
134,Zimbabwe ,Sub-Saharan Africa ,"109,000",0.9,<0.1 ,DHS 2006 ,
135,Europe ,Europe ,"38,112,000",0.1,2.40%,,
136,Albania ,Europe ,"2,522,000",79.9,0.2,MICS 2005 ,
137,Andorra ,Europe ,"1,000",1,<1 ,WVS 2005 ,
138,Austria ,Europe ,"353,000",4.2,<0.1 ,Census 2001 ,
139,Belarus ,Europe ,"19,000",1,<1 ,WVS 2000 ,
140,Belgium ,Europe ,"281,000",3,<1 ,ESS 2006 ,
141,Bosnia-Herzegovina ,Europe ,"1,522,000",40,<1 ,WVS 2001 ,
142,Bulgaria ,Europe ,"920,000",12.2,0.1,Census 2001 ,
143,Channel Islands ,Europe ,--,0.1,<0.1 ,WRD 2005 ,
144,Croatia ,Europe ,"18,000",1,<1 ,InterMedia 2004 ,
145,Czech Republic ,Europe ,"1,000",0,<0.1 ,WRD 2005 ,
146,Denmark ,Europe ,"88,000",2,<1 ,ESS 2006 ,
147,Estonia ,Europe ,"2,000",0.1,<0.1 ,Census 2000 ,
148,Faeroe Islands ,Europe ,--,0,--,WRD 2005 ,
149,Finland ,Europe ,"24,000",0.5,<0.1 ,WRD 2005 ,
150,France ,Europe ,"3,554,000",6,<1 ,ERFI 2005 ,
151,Georgia ,Europe ,"423,000",9.9,<0.1 ,Census 2002 ,
152,Germany ,Europe ,"4,026,000",5,<1 ,Ministry of the Interior 2009 ,
153,Gibraltar ,Europe ,"1,000",4,<0.1 ,Census 2001 ,
154,Greece ,Europe ,"310,000",3,<1 ,ESS 2004 ,
